,incident_key,distance,distance_score,horizon_score,radius_boost_score,event,event_score,frc,frc_score,delay,delay_score,ranking_score
99,TTR28406469376060000,216.7787025,-0.80649,,0,CLOSURE,1,FRC4,0.6,0,0,-1
102,TTR23411847096012000,1129.854635,-8.41546,,0,ROADWORKS,0.6,FRC4,0.6,0,0,-1
103,TTR28677691764005001,274.7921684,-1.28993,,0,ROADWORKS,0.6,FRC5,0.5,0,0,-1
104,TTR28827719820259001,324.0558208,-1.70047,,0,ROADWORKS,0.6,FRC3,0.7,0,0,-1
105,TTR21504565340003000,1641.927604,-12.68273,,0,ROADWORKS,0.6,FRC3,0.7,0,0,-1
106,TTR21836388564132001,1553.706664,-11.94756,,0,ROADWORKS,0.6,FRC4,0.6,74,1,-1
107,TTL27855361944011004_2,135.9126199,-0.13261,,0,JAM_CONDITIONAL,0.9,FRC3,0.7,258,1,-1
108,TTR24488039916020001,951.0202027,-6.92517,,0,ROADWORKS,0.6,FRC4,0.6,0,0,-1
109,TTR25027621568004000,774.3880966,-5.45323,,0,CLOSURE,1,FRC4,0.6,0,0,-1
110,TTR24179311636171001,996.58112,-7.30484,,0,ROADWORKS,0.6,FRC3,0.7,0,0,-1
111,TTR27252326396005000,271.5578036,-1.26298,,0,CLOSURE,1,FRC5,0.5,0,0,-1
112,TTR23864803620045000,1072.980621,-7.94151,,0,CLOSURE,1,FRC5,0.5,0,0,-1
113,TTR23111727328061000,1236.20397,-9.3017,,0,CLOSURE,1,FRC5,0.5,0,0,-1
114,TTR24594808260010002,894.5379835,-6.45448,,0,ROADWORKS,0.6,FRC2,0.8,0,0,-1
115,TTR25702831332112000,537.4574057,-3.47881,,0,ACCIDENT,1,FRC0,1,0,0,-1
117,TTR25004537884386000,784.1371136,-5.53448,,0,ROADWORKS,0.6,FRC2,0.8,0,0,-1
118,TTR23432045300269000,1123.264884,-8.36054,,0,CLOSURE,1,FRC5,0.5,0,0,-1
119,TTL28784442852035001_3,304.3153432,-1.53596,,0,JAM_CONDITIONAL,0.9,FRC3,0.7,301,1,-1
121,TTR24104330980018000,947.6757861,-6.8973,,0,ROADWORKS,0.6,FRC2,0.8,0,0,-1
123,TTR24600579660084000,890.4377091,-6.42031,,0,ROADWORKS,0.6,FRC4,0.6,0,0,-1
124,TTR23235840820020000,1176.43482,-8.80362,,0,ROADWORKS,0.6,FRC4,0.6,6,0.1,-1
125,TTR28862346984001001,327.1641934,-1.72637,,0,ACCIDENT,1,FRC1,0.9,0,0,-1
126,TTR23010759304026000,1234.681976,-9.28902,,0,ROADWORKS,0.6,FRC2,0.8,0,0,-1
127,TTL27188845452007000,262.3947703,-1.18662,,0,JAM_UNCONDITIONAL,0.9,FRC7,0.3,85,1,-1
128,TTR22834748088059001,1281.805834,-9.68172,,0,ROADWORKS,0.6,FRC3,0.7,0,0,-1
129,TTR22681835056004000,1314.935273,-9.95779,,0,ROADWORKS,0.6,FRC4,0.6,0,0,-1
130,TTR26507876348036000,327.2858094,-1.72738,,0,CLOSURE,1,FRC4,0.6,0,0,-1
131,TTR24029269800058000,1035.511521,-7.62926,,0,ROADWORKS,0.6,FRC2,0.8,0,0,-1
132,TTR23241591816170000,1173.349144,-8.77791,,0,ROADWORKS,0.6,FRC2,0.8,0,0,-1
133,TTR24323605668165000,903.1716509,-6.52643,,0,CLOSURE,1,FRC5,0.5,0,0,-1
136,TTL28204471404023001,168.7341499,-0.40612,,0,JAM_UNCONDITIONAL,0.9,FRC7,0.3,61,1,-1
137,TTR24499580184014001,953.9706981,-6.94976,,0,CLOSURE,1,FRC6,0.4,0,0,-1
138,TTR25018971524004001,757.4915412,-5.31243,,0,ROADWORKS,0.6,FRC4,0.6,0,0,-1
139,TTL21354523776014000,1680.97649,-13.00814,,0,JAM_UNCONDITIONAL,0.9,FRC6,0.4,187,1,-1
140,TTR24788147860229000,794.486254,-5.62072,,0,CLOSURE,1,FRC5,0.5,0,0,-1
141,TTL28689232748019005_3,277.4096568,-1.31175,,0,JAM_CONDITIONAL,0.9,FRC3,0.7,212,1,-1
142,TTR24404364072054001,969.1003167,-7.07584,,0,CLOSURE,1,FRC6,0.4,0,0,-1
143,TTR23097317792036000,1217.858545,-9.14882,,0,ROADWORKS,0.6,FRC4,0.6,12,0.4,-1
144,TTR21920038452156000,1585.823819,-12.2152,,0,ROADWORKS,0.6,FRC4,0.6,0,0,-1
145,TTR25639351040018001,552.8882968,-3.6074,,0,TRAFFIC_RESTRICTION,0.6,FRC2,0.8,0,0,-1
146,TTR27266753956029000,275.6633672,-1.29719,,0,CLOSURE,1,FRC5,0.5,0,0,-1
147,TTL24635205180014001,879.6560192,-6.33047,,0,JAM_UNCONDITIONAL,0.9,FRC6,0.4,204,1,-1
148,TTR27295607652000001,268.7399044,-1.2395,,0,ACCIDENT,1,FRC0,1,0,0,-1
149,TTR28775789528007001,299.9715059,-1.49976,,0,CLOSURE,1,FRC7,0.3,0,0,-1
150,TTR26340523188077000,370.207089,-2.08506,,0,CLOSURE,1,FRC5,0.5,0,0,-1
