,incident_key,filter_out,distance,distance_score,radius_boost_score,event,event_score,frc,frc_score,delay,delay_score,ranking_score
2951,TTR37732717988053000,False,10.425113528854869,0.91312,0.5,CLOSURE,1,FRC5,0.5,,1,0.7826240000000001
2952,TTR37784655588030001,False,4.024370443595898,0.96646,0.5,CLOSURE,1,FRC6,0.4,,1,0.773292
2953,TTR36497738760003000,False,374.9123913051075,-2.12427,0.0,ROADWORKS,0.6,FRC3,0.7,-100,0,-0.16485400000000008
2954,TTR36841101832020000,False,407.61140754158816,-2.39676,0.0,CLOSURE,1,FRC4,0.6,,1,0.04064800000000002
2955,TTR37804853264017001,False,1.2254876489095643,0.98979,1.0,ROADWORKS,0.6,FRC1,0.9,17,0.1,0.7179580000000001
2956,TTL37732696456065000,True,415.69568319267285,-2.46413,0.0,NONLOS_DELAY,0.8,FRC1,0.9,72,0.1,-100.0
2957,TTR38849356324004002,False,417.8172835245391,-2.48181,0.0,ROADWORKS,0.6,FRC4,0.6,5,0.1,-0.23636199999999996
2958,TTR36812248332074000,False,394.0409186190853,-2.28367,0.0,ROADWORKS,0.6,FRC2,0.8,110,0.1,-0.15673399999999993
2959,TTR37253714504012000,False,452.53767468092474,-2.77115,0.0,CLOSURE,1,FRC4,0.6,,1,-0.03422999999999998
2960,TTL38234769624011000,True,238.20312651497792,-0.98503,0.0,JAM_UNCONDITIONAL,0.9,FRC3,0.7,157,0.1,-100.0
2961,TTL41250040080009000_1,True,464.0140342468424,-2.86678,0.0,JAM_CONDITIONAL,0.9,FRC1,0.9,85,0.1,-100.0
2962,TTR37770204032040000,False,471.41372329502303,-2.92845,0.0,ROADWORKS,0.6,FRC0,1,19,0.1,-0.24569000000000002
2963,TTL39732295124009001,True,473.9193118746475,-2.94933,0.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,46,0.1,-100.0
2964,TTL36212090608019000,True,252.5072947609563,-1.10423,0.0,JAM_UNCONDITIONAL,0.9,FRC3,0.7,254,0.1,-100.0
2965,TTW37799082000008000,False,10.253873833336549,0.91455,0.5,JAM_TAIL_WARNING,0.9,FRC0,1,-100,0,0.66291
2966,TTR37911589516020001,False,475.53070992961904,-2.96276,0.0,ROADWORKS,0.6,FRC4,0.6,51,0.1,-0.33255199999999996
2967,TTL37865438668044000,True,169.9243750623244,-0.41604,0.0,JAM_UNCONDITIONAL,0.9,FRC4,0.6,155,0.1,-100.0
2968,TTL37219100184018008_2,True,247.83263044043784,-1.06527,0.0,JAM_CONDITIONAL,0.9,FRC2,0.8,158,0.1,-100.0
2969,TTL37219100184018008_1,True,247.83263044043784,-1.06527,0.0,JAM_CONDITIONAL,0.9,FRC2,0.8,305,0.2,-100.0
2970,TTR39143685660009000,False,186.56710799602493,-0.55473,0.0,CLOSURE,1,FRC1,0.9,,1,0.469054
2971,TTR37602851832416001,False,421.8139479921922,-2.51512,0.0,ROADWORKS,0.6,FRC0,1,-100,0,-0.18302400000000002
2972,TTR37441279588020000,False,206.52101150669188,-0.72101,0.0,CLOSURE,1,FRC4,0.6,,1,0.37579799999999997
2973,TTR36564122844009000,False,155.81927786581062,-0.29849,0.0,ROADWORKS,0.6,FRC1,0.9,7,0.1,0.26030200000000003
2974,TTR35577296240721001,False,327.7542040233602,-1.73129,0.0,CLOSURE,1,FRC1,0.9,,1,0.23374200000000003
2975,TTR38445394396116000,False,453.5420543850304,-2.77952,0.0,CLOSURE,1,FRC4,0.6,,1,-0.03590400000000005
2976,TTL38517530764033019,True,440.1558689624842,-2.66797,0.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,133,0.1,-100.0
2977,TTR37207550092011000,False,407.45171233161165,-2.39543,0.0,CLOSURE,1,FRC3,0.7,,1,0.06091399999999994
2978,TTR39859249044031000,False,555.9671664854947,-3.63306,0.0,CLOSURE,1,FRC7,0.3,,1,-0.26661200000000007
2979,TTR36442919516015001,False,315.52335431933636,-1.62936,0.0,CLOSURE,1,FRC7,0.3,,1,0.13412800000000002
2980,TTR39192715928020000,False,529.9504052933676,-3.41625,0.0,ROADWORKS,0.6,FRC4,0.6,-100,0,-0.44325000000000003
2981,TTL40566189248017000,True,444.41323784077366,-2.70344,0.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,185,0.1,-100.0
