,incident_key,filter_out,distance,distance_score,radius_boost_score,event,event_score,frc,frc_score,delay,delay_score,ranking_score
5805,TTR37784655524014000,False,4.3861546701521,0.96345,0.5,CLOSURE,1,FRC6,0.4,,1,0.77269
882,TTL37833707744010000,False,4.44946565398152,0.96292,0.5,JAM_UNCONDITIONAL,0.9,FRC2,0.8,1005,0.7,0.772584
2851,TTR37770228320022000,False,4.483285641363859,0.96264,0.5,CLOSURE,1,FRC6,0.4,,1,0.772528
8060,TTR37784655596014000,False,4.4857408587755065,0.96262,0.5,CLOSURE,1,FRC6,0.4,,1,0.7725240000000001
7362,TTR37827936468054002,False,4.50932953301526,0.96242,0.5,CLOSURE,1,FRC6,0.4,,1,0.7724840000000001
5456,TTR37773113792014001,False,4.617272992073015,0.96152,0.5,CLOSURE,1,FRC6,0.4,,1,0.772304
1208,TTR37842363880014001,False,4.624991885238291,0.96146,0.5,CLOSURE,1,FRC6,0.4,,1,0.7722920000000001
4065,TTR37836592956006000,False,4.624991885238291,0.96146,0.5,CLOSURE,1,FRC6,0.4,,1,0.7722920000000001
6029,TTR37764457356022000,False,4.6247976244259466,0.96146,0.5,CLOSURE,1,FRC6,0.4,,1,0.7722920000000001
8401,TTR37773113864014000,False,4.6714521038385,0.96107,0.5,CLOSURE,1,FRC6,0.4,,1,0.7722140000000001
6840,TTL37833707788011000_3,False,4.685907368723034,0.96095,0.5,JAM_CONDITIONAL,0.9,FRC1,0.9,840,0.6,0.77219
1981,TTR37842363808014001,False,4.685517099866146,0.96095,0.5,CLOSURE,1,FRC6,0.4,,1,0.77219
7431,TTR37825051116022000,False,4.718018144930764,0.96068,0.5,CLOSURE,1,FRC6,0.4,,1,0.772136
2751,TTR37839478372022000,False,4.844071132388514,0.95963,0.5,CLOSURE,1,FRC6,0.4,,1,0.771926
4678,TTR37778884572022000,False,4.974972468728916,0.95854,0.5,CLOSURE,1,FRC6,0.4,,1,0.771708
8381,TTR37813509288030000,False,4.981416298809749,0.95849,0.5,CLOSURE,1,FRC6,0.4,,1,0.771698
7375,TTR37842363860014002,False,5.133211280504756,0.95722,0.5,CLOSURE,1,FRC6,0.4,,1,0.771444
4778,TTR37845249388030000,False,5.152417152355158,0.95706,0.5,CLOSURE,1,FRC6,0.4,,1,0.7714120000000001
2080,TTR37842363932014002,False,5.197758744444116,0.95669,0.5,CLOSURE,1,FRC6,0.4,,1,0.771338
298,TTR37778884788022000,False,5.223414690276684,0.95647,0.5,CLOSURE,1,FRC6,0.4,,1,0.771294
7327,TTR37810623968014001,False,5.345193385486975,0.95546,0.5,CLOSURE,1,FRC6,0.4,,1,0.771092
5085,TTR37810623896014001,False,5.480742741937317,0.95433,0.5,CLOSURE,1,FRC6,0.4,,1,0.770866
8554,TTR37833707336014002,False,5.741224852113815,0.95216,0.5,CLOSURE,1,FRC6,0.4,,1,0.770432
2994,TTR37851020148022001,False,5.882439443737083,0.95098,0.5,CLOSURE,1,FRC6,0.4,,1,0.770196
2993,TTR37851020148022000,False,5.990286419377544,0.95008,0.5,CLOSURE,1,FRC6,0.4,,1,0.770016
7044,TTR37819280084014000,False,5.9950903192343485,0.95004,0.5,CLOSURE,1,FRC6,0.4,,1,0.770008
4074,TTR37819280156014000,False,6.04762005065951,0.9496,0.5,CLOSURE,1,FRC6,0.4,,1,0.76992
3670,TTL37799082100027001_3,False,6.132958488253369,0.94889,0.5,JAM_CONDITIONAL,0.9,FRC3,0.7,1193,0.8,0.7697780000000001
8750,TTR37799082132014000,False,6.27837548633603,0.94768,0.5,CLOSURE,1,FRC6,0.4,,1,0.769536
5112,TTR37781769740014000,False,6.536087949528782,0.94553,0.5,CLOSURE,1,FRC6,0.4,,1,0.769106
1815,TTR37781769668014002,False,6.569138078702278,0.94526,0.5,CLOSURE,1,FRC6,0.4,,1,0.769052
4000,TTR37738488772030000,False,8.188119398406874,0.93177,0.5,CLOSURE,1,FRC6,0.4,,1,0.7663540000000001
6568,TTR37790425832014000,False,8.960390969674872,0.92533,0.5,CLOSURE,1,FRC6,0.4,,1,0.765066
6842,TTR37845248952014000,False,9.905526138425829,0.91745,0.5,CLOSURE,1,FRC6,0.4,,1,0.76349
218,TTR37764457024038000,False,9.912675786826679,0.91739,0.5,CLOSURE,1,FRC6,0.4,,1,0.763478
6349,TTR37845248880014000,False,9.92029539004364,0.91733,0.5,CLOSURE,1,FRC6,0.4,,1,0.7634660000000001
2604,TTR37871217836022002,False,10.120033694300567,0.91567,0.5,CLOSURE,1,FRC6,0.4,,1,0.7631340000000001
6579,TTR37871217908022002,False,10.132615533275324,0.91556,0.5,CLOSURE,1,FRC6,0.4,,1,0.763112
